Element_GUID,IFC_Type,Floor,Apartment,Trade,Construction_Type,Category,Task_Match_Count,Milestone,Original_MSP_UID,Source,Apartment_Zone,Phase,Status,Trade_Discipline,Percent_Complete,Priority,Weather_Dependent,Duration,Quantity,Responsible_Party,WBS_Code,Task_ID,Predecessor_Task_ID,Successor_Task_ID,Cost_ID,Cost_Code,Cost_Category,Description,Unit_Rate_EUR,Labor_Cost_EUR,Material_Cost_EUR,Budgeted_Cost_EUR,Actual_Cost_EUR,Variance_EUR,Variance_Percent,Committed_Cost_EUR,Forecast_Final_Cost_EUR,Retention_Percent,Retention_Held_EUR,Payment_Status,Currency,Cost_Date,Is_Milestone_Synthetic
2Ye2fKnjXAEftAAecRMNfV,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2QLBwuZDfEmuESkiT_yymc,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0aWtcM$1j1$wMs6qq3amY0,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
21JedoyDf1jg7ixONhPH5B,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1o34KGWg5AnRTiJOhwQVdk,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0m0_V5iFz0993Gy0YjDTTT,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3f3PNjEKnD0vZTIofateh2,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3EDZcM$kn05hoHQ$Z2Vy3d,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1n2fUvkDb5$uMdMN$ImRfp,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2JP$Vh$OrBn8WddLabs41k,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0thyQFjPX45OCdLCm3UMpK,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1Hv1uFMHTCJ9Q$UWKGXCNB,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2i_cekBh9Av8P5LKYyoUPb,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3eiwfebPz6aBJmLNliMSzQ,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1O9Uq4qWPFXx76ALAUin0I,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3Vnlo777D6sear4VnH98Ey,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1PIXKKGbjAhveqygt5d$RV,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1ZKphijRv5aQMN2BPxf7bL,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0zCNOX7Q93$xXgBkmGhGey,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1oISTbKmL9mfZhmsVEb8hJ,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
00IbOoI7nFSxfp71ZyLBPm,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1ixfSQr9n76xc3$_jdjyOM,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0j3ypi4UzFcQ6as7zS7nt8,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3ig8lYbDr8gAJsEpAqMubV,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0jNuu$i_rD2eUoRxpITzh5,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0lc$v_NHjC_xBVfczhz9SK,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3oDHF87SD6GB$hBtQMlz7t,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2f0$QVByX6ugBTFoMIOEvG,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
37_P0I4rjCSP6yY7b9oPCb,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
10MxXhTT99LQ0GlRLBqlO3,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3UqAkIwpHEvuKm0l0k$CKt,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0nMFjIkQb8nO7pDrrZbNb_,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3QJiKD5p93qgcUxHX8_Z7j,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0sN$ROEPr71OXQ86YpsVkj,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3UWW7y9uTD78thZQ1AADnu,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2ON6EcLMD0$O2ZGZgwvXfd,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2K3xEFMCn8Oe$qGTeRQqLG,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
00nskTKeH6WOgaqMmwF3pp,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0HQQO2$RT5NxjAYqu6dRxV,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
39pO7ncAnD5w5sgzGgcfcf,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2MzOJGCZbCuh2oTKejJas_,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0M6fb3N3rBghp24veh83Nr,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2fMb5HmwrADxi44qQ_8H2J,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1ARCkaiqTCdheZNfSbvLCm,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3MpbjSJ79AF8GSoW6uAzc0,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3aUxcoO_j3tfpBZz8KhVDA,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1ZgIIxjwjBBBxWK2odqmNt,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2FwhScHlD1lf2P0_fxWpdF,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3KZ1A31pLDZgv61Pr5ILuZ,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1AAprqPif3muSW78GUrrAQ,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0CDXLiWLH6_eUKGAQGeEX9,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
25jnbRuOH3yR0Vnxbrf4Ey,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2DXRwGxjb2hAD7EnaJghPn,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0vISlVtTXFjgpC$RZewh3J,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1W3I3R2x19bfOBW_WD4sxL,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2onr4hRYf5AOPdEOcMaAGr,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2svKHCTfTCJeS$mVvXojdH,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3whW5kRxz9uPvew6tBRVkS,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1L189paHTCx8_OpSrSK35v,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3LgbXHWjL33wXWkwFrdttj,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
033KaR1kL86e6qeKWXcfxF,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2K7JRliz9F8R2WKcFfDhY9,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3pu87UvP13p9E_$8QPMNkM,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0bBhbWDY123eBffCPFwaaU,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3BxVQne458OBfuo$8pV1HD,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3r$IV2dbHAOuD3XJ$Kd92o,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2UtSx95dv3JRuY4Yu9CqPb,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0H6WZKwMz2yfLBeSGHTQGE,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1qbDTWHmL3WOviuiQtPseV,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2SNH8$CzP0tQ4Ndlfu37pR,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
27XF91$mX5sw7SxEowD4Bu,IFCBEAM,Ground Floor,,Structural,Wall,Interior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
3_sm0$DsvDaRlGqGW8ep4k,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
0KNmVKmh519eKhcfjdm0L1,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
3NdkzhQHz3wxMr0BA5Cn4d,IFCBEAM,Ground Floor,,Structural,Wall,Interior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
3$Ql2irJbA8fOlMMiZl_$S,IFCBEAM,Ground Floor,,Structural,Wall,Interior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
3gSHfU2iT01OSAG8Jn4wG2,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
3xcFzxVzD9DfEgcbGOMYmH,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
1oot26Inz1pwxngGAk8cuV,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
1AjRY3xPX758SLsUl51028,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
2BhHYCsB186eQstC61zld8,IFCBEAM,Ground Floor,,Structural,Wall,Exterior,1,N,44,Original,,UITVOERING,Complete,Structural,100,High,N,8 hrs (1 day),5.6,Main Contractor - Structural Crew,1.0036,40,,,40,STR-0,Subcontract,"Surveying / setting out, ground floor slab",176.08,556.88,986.05,1542.93,1658.66,115.73,7.5,1779.47,1658.66,5,82.93,Invoiced,EUR,2015-04-10,
